"ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0007264","small GTPase mediated signal transduction","24/260","428/28891",1.31315965305866e-12,4.24938463729783e-09,3.45706557084181e-09,"Rgl2/Farp2/Rtn4r/Abl1/Arhgap18/Sipa1l3/Dab1/Sipa1/Map4k4/Dhcr24/Apoa1/Abca1/Phactr4/Dennd4c/Nfix/Pdgfrb/Psd2/Gna12/Cdc42ep1/Apoe/Adgrg1/Rac2/Rab9b/Cdh13",24
"GO:0007015","actin filament organization","16/260","471/28891",6.64411859572587e-06,0.00165387444428992,0.00134550126379841,"Abl1/Arhgap18/Ttn/Daam2/Rictor/Arhgef10/Smad3/Apoa1/Jmy/Snx9/Sh3kbp1/Fam107a/Cdc42ep1/Wasf3/Tmod2/Rac2",16
"GO:0032956","regulation of actin cytoskeleton organization","13/260","351/28891",2.00826542294388e-05,0.00345909371101781,0.00281412834924713,"Abl1/Arhgap18/Daam2/Rictor/Arhgef10/Smad3/Apoa1/Snx9/Fam107a/Pdgfrb/Cdc42ep1/Wasf3/Tmod2",13
"GO:0001558","regulation of cell growth","15/260","459/28891",2.03098827284729e-05,0.00345909371101781,0.00281412834924713,"Epm2a/Rtn4r/Abl1/Uri1/Rictor/Smad3/Macf1/Pum2/Fam107a/Cdkn1b/Cdkn2aip/Apoe/Smarcb1/Eif2b2/Map2k5",15
"GO:0032535","regulation of cellular component size","14/260","411/28891",2.44235413151714e-05,0.00359248089526794,0.00292264482436573,"Atp7a/Rtn4r/Abl1/Arhgap18/Daam2/Rictor/Snx9/Macf1/Pum2/Cdc42ep1/Rb1cc1/Tmod2/Apoe/Eif2b2",14
"GO:0031032","actomyosin structure organization","10/260","218/28891",3.08915800278885e-05,0.00434631099870639,0.0035359195263043,"Abl1/Ttn/Arhgef10/Smad3/Apoa1/Pdgfrb/Tmod2/Epb41l5/Pgm5/Krt19",10
"GO:0150116","regulation of cell-substrate junction organization","6/260","69/28891",3.73977709688491e-05,0.00504246611896649,0.00410227303478472,"Abl1/Map4k4/Smad3/Macf1/Fam107a/Epb41l5",6
"GO:1902905","positive regulation of supramolecular fiber organization","9/260","183/28891",4.49353503637386e-05,0.00537978316623263,0.00437669562772357,"Abl1/Rictor/Arhgef10/Smad3/Apoa1/Snx9/Cdkn1b/Cdc42ep1/Wasf3",9
"GO:0010810","regulation of cell-substrate adhesion","10/260","228/28891",4.51525571592069e-05,0.00537978316623263,0.00437669562772357,"Abl1/Map4k4/Smad3/Apoa1/Stk4/Macf1/Fam107a/Epb41l5/Rac2/Cdh13",10
"GO:0043254","regulation of protein-containing complex assembly","14/260","437/28891",4.75249028876698e-05,0.00537978316623263,0.00437669562772357,"Tfip11/Epn1/Farp2/Abl1/Arhgap18/Daam2/Rictor/Snx9/Abca1/Cdkn1b/Cdc42ep1/Tmod2/Aida/Apoe",14
"GO:0099504","synaptic vesicle cycle","10/260","230/28891",4.85940862997247e-05,0.00537978316623263,0.00437669562772357,"Erc1/Slc18a2/Sh3gl3/Th/Snx9/Syt5/Sh3gl1/Snap23/Cacna1b/Atp6v1g1",10
"GO:1902903","regulation of supramolecular fiber organization","13/260","393/28891",6.41170911206148e-05,0.00610243843724439,0.00496460820101107,"Abl1/Arhgap18/Daam2/Rictor/Arhgef10/Smad3/Apoa1/Snx9/Cdkn1b/Cdc42ep1/Wasf3/Tmod2/Apoe",13
"GO:0030100","regulation of endocytosis","12/260","344/28891",7.41980915682028e-05,0.00666958400874178,0.00542600663777998,"Sh3gl3/Sod1/Csk/Ighm/Apoa1/Ankrd13d/Snx9/Scyl2/Neu3/Sh3gl1/Apoe/Cdh13",12
"GO:0032970","regulation of actin filament-based process","13/260","402/28891",8.05077426939732e-05,0.00667503484153159,0.00543044113547281,"Abl1/Arhgap18/Daam2/Rictor/Arhgef10/Smad3/Apoa1/Snx9/Fam107a/Pdgfrb/Cdc42ep1/Wasf3/Tmod2",13
"GO:1901888","regulation of cell junction assembly","10/260","246/28891",8.51135423673539e-05,0.00671774202684774,0.00546518535200904,"Abl1/Map4k4/Smad3/Flrt1/Macf1/Fam107a/Ptpn13/Gpc4/Epb41l5/Asic2",10
"GO:0007059","chromosome segregation","13/260","416/28891",0.000113211685360452,0.008722690805391,0.00709630138061378,"Tubgcp4/Tubgcp2/Arhgef10/Ncor1/Hnrnpu/Anapc5/Chmp7/Pum2/Ik/Top2b/Smarcb1/Smc3/Ntmt1",13
"GO:0051225","spindle assembly","7/260","123/28891",0.000128958299589028,0.00970486180163009,0.00789534167128907,"Tubgcp4/Tubgcp2/Arhgef10/Ncor1/Hnrnpu/Chmp7/Smc3",7
"GO:0140014","mitotic nuclear division","10/260","267/28891",0.000166314055798335,0.0101545714068569,0.00826120066636816,"Arhgef10/Hnrnpu/Anapc5/Chmp7/Ankle2/Ik/Cdkn1b/Nfix/Pdgfrb/Smc3",10
"GO:0048880","sensory system development","13/260","435/28891",0.000175550018128819,0.0105199973826826,0.0085584911372354,"Ift122/Sipa1l3/Spred3/Ift172/Th/Smad3/Celf4/Sall2/Phactr4/Cdkn1b/Nfix/Pdgfrb/Tdrd7",13
"GO:1900272","negative regulation of long-term synaptic potentiation","3/260","13/28891",0.00019275116530445,0.0105719113716136,0.00860072550270169,"Abl1/Fam107a/Apoe",3
"GO:0002757","immune response-activating signaling pathway","13/260","440/28891",0.000196182047023184,0.010580751736117,0.00860791753692952,"Abl1/Ankrd17/Csk/Rnf31/Ighm/Zc3hav1/Trim25/Rftn1/Pum2/Otud4/Ltf/Eif2b2/S100a14",13
"GO:0002764","immune response-regulating signaling pathway","13/260","450/28891",0.000243754770311565,0.0125204831226702,0.0101859762831951,"Abl1/Ankrd17/Csk/Rnf31/Ighm/Zc3hav1/Trim25/Rftn1/Pum2/Otud4/Ltf/Eif2b2/S100a14",13
"GO:0150117","positive regulation of cell-substrate junction organization","4/260","35/28891",0.000269445226137092,0.0132109810875702,0.0107477274412898,"Abl1/Map4k4/Smad3/Epb41l5",4
"GO:0010811","positive regulation of cell-substrate adhesion","7/260","140/28891",0.000286584532744549,0.0135300020547028,0.0110072653499485,"Abl1/Map4k4/Smad3/Apoa1/Stk4/Epb41l5/Cdh13",7
"GO:0016055","Wnt signaling pathway","13/260","460/28891",0.000300880280102164,0.0135300020547028,0.0110072653499485,"Epm2a/Abl1/Daam2/Smad3/Scyl2/Stk4/Macf1/Lrp4/Gpc4/Apoe/Pbxip1/Celsr3/Krt6a",13
"GO:0055001","muscle cell development","9/260","236/28891",0.000307537258678561,0.0135300020547028,0.0110072653499485,"Ttn/Hdac4/Hnrnpu/Speg/Pdgfrb/Tmod2/Megf10/Pgm5/Krt19",9
"GO:0016331","morphogenesis of embryonic epithelium","8/260","187/28891",0.00030831560231123,0.0135300020547028,0.0110072653499485,"Ift122/Glmn/Abl1/Ift172/Nup50/Stk4/Phactr4/Epb41l5",8
"GO:0198738","cell-cell signaling by wnt","13/260","462/28891",0.000313581629821603,0.0135300020547028,0.0110072653499485,"Epm2a/Abl1/Daam2/Smad3/Scyl2/Stk4/Macf1/Lrp4/Gpc4/Apoe/Pbxip1/Celsr3/Krt6a",13
"GO:0070306","lens fiber cell differentiation","4/260","37/28891",0.000335108024673989,0.0137267033904434,0.0111672907356382,"Spred3/Smad3/Cdkn1b/Tdrd7",4
